VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080,3811251.6,43772.0,1569287.28,178984.6,80426.87,68601.68,-2241964.3200000003,-142.86513046865454,0.3017094017094017,0.41175116331863265
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038,3804041.22,47449.0,1418645.51,150109.41,87183.24,144929.24,-2385395.71,-168.14600216794116,0.28925614796571525,0.3729311613505597
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407,3418303.68,50762.0,1220613.88,120364.10999999999,93270.99,123780.22,-2197689.8000000003,-180.0479116295155,0.27086501571446103,0.3570817558257433
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682,3261197.94,78739.0,1701015.61,113482.82999999999,144678.82,257032.07,-1560182.3299999998,-91.72063565013373,0.39041163812338237,0.5215922618913467
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109,3023206.01,42736.0,1313126.64,148208.13999999998,78523.47,257032.07,-1710079.3699999999,-130.22958471088515,0.3094367492343004,0.43434904391447676
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809,2466635.93,40645.0,965541.55,118970.31,32003.38,89286.27,-1501094.3800000001,-155.46657520849308,0.29281242570726684,0.3914406411812869
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783,2177285.08,30778.0,1181346.22,163057.87,56551.479999999996,123780.22,-995938.8600000001,-84.30541725523955,0.4348219205176384,0.5425776490417139
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386,2088334.84,37311.0,640635.89,56200.56,68556.18,257032.07,-1447698.9500000002,-225.97843370904496,0.23119105746471194,0.3067687603200644
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835,1903739.55,24435.0,695419.65,131495.97999999998,44895.17,257032.07,-1208319.9,-173.75406346369417,0.2660750258615996,0.3652913813761972
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866,1773427.14,37571.0,818623.29,112438.68,69032.06999999999,123880.97,-954803.8499999999,-116.63531463904475,0.3451123399408447,0.46160525658809987
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205,1530426.1,30086.0,728274.14,118523.96999999999,23688.28,123780.22,-802151.9600000001,-110.1442322255188,0.32279384153210666,0.47586364346504545
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942,1498161.96,21232.0,620707.6799999999,121881.45,39011.35,257032.07,-877454.28,-141.3635288031236,0.31717008753846615,0.41431280233546974
