VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
3960,DIAGEO NORTH AMERICA INC,1003,Crown Royal +2 Reusable Cups,16.66,25.99,750.0,11973,199470.18,9283.0,213420.16999999998,61893.079999999994,7308.78,257032.07,13949.98999999999,6.5363971924490505,0.7753278209304268,1.0699352153790607,16.66,Large,44815.4
3960,DIAGEO NORTH AMERICA INC,381,Baileys Irish Cream w/4 Glss,14.5,21.99,750.0,12796,185542.0,11913.0,238146.87,50316.829999999994,9380.06,257032.07,52604.869999999995,22.089255256640573,0.9309940606439512,1.283520011641569,14.5,Large,12803.5
1128,BROWN-FORMAN CORP,1244,Jack Daniels Winter Jack,12.79,17.99,750.0,8197,104839.63,6876.0,109949.24,35004.11,5413.46,68601.68,5109.610000000001,4.647244492094716,0.8388434793217031,1.0487373906222295,12.790000000000001,Large,16895.59
480,BACARDI USA INC,1330,Grey Goose Glass Pack,38.27,49.99,1750.0,2403,91962.81,2249.0,112435.51000000001,47848.43,4132.81,89286.27,20472.70000000001,18.208393415923503,0.9359134415314191,1.2226193392742133,38.269999999999996,Large,5893.580000000001
4425,MARTIGNETTI COMPANIES,26181,Jaume Serra Cristalino Brut,4.57,8.99,750.0,17848,81565.36,10086.0,81589.7,17215.4,1131.27,144929.24,24.339999999996508,0.029832196956229167,0.5651053339309726,1.0002984109921171,4.57,Large,35472.340000000004
17035,PERNOD RICARD USA,1556,Kahlua w/50mL Absolut+Glass,14.84,21.99,750.0,5387,79943.08,4828.0,91686.72,36538.759999999995,3801.78,123780.22,11743.64,12.808441615099763,0.8962316688323743,1.1469000193637773,14.84,Large,8295.56
7153,PINE STATE TRADING CO,3556,Hard Rock Vodka,9.48,12.99,1750.0,7660,72616.8,7505.0,97489.95,23992.53,13789.19,15884.82,24873.149999999994,25.513552935456417,0.9797650130548303,1.3425261096605743,9.48,Large,1469.4
3960,DIAGEO NORTH AMERICA INC,3148,Ciroc Mango Vodka,35.24,48.99,1750.0,2018,71114.32,1464.0,71721.36,25376.82,2690.37,257032.07,607.0399999999936,0.8463866273589814,0.7254707631318137,1.0085361148078191,35.24,Large,19522.960000000003
3960,DIAGEO NORTH AMERICA INC,3226,Ciroc Mango Vodka,8.63,11.99,375.0,7869,67909.47,6864.0,82299.36,17721.22,2699.55,257032.07,14389.89,17.484813976682197,0.8722836446816622,1.2118981343839084,8.63,Large,8673.150000000001
1128,BROWN-FORMAN CORP,1125,Jack Daniels Equity VAP,16.29,21.99,750.0,3830,62390.7,2674.0,65816.26,34020.02,2105.79,68601.68,3425.5599999999977,5.204732082922971,0.6981723237597911,1.0549049778252206,16.29,Large,18831.239999999998
